OSOBY
[[PERSON_1]]: Martin Svoboda
[[PERSON_2]]: Jana Nováková
[[PERSON_3]]: Petr Dvořák
[[PERSON_4]]: Pavel Horák
[[PERSON_5]]: Lucie Procházková
[[PERSON_6]]: Tomáš Černý
[[PERSON_7]]: Petra Černá
[[PERSON_8]]: Milan Novotný
[[PERSON_9]]: Karolína Svobodová
[[PERSON_10]]: Jan Dvořák
[[PERSON_11]]: Robert Kovář
[[PERSON_12]]: Eva Málková
[[PERSON_13]]: Petr Svoboda
[[PERSON_14]]: Alena Svobodová
[[PERSON_15]]: Eliška Svobodová
[[PERSON_16]]: Jakub Svoboda
[[PERSON_17]]: Martin Horáková
[[PERSON_18]]: Tomáš Veselý
[[PERSON_19]]: Jana Málková
[[PERSON_20]]: Han Nová
[[PERSON_21]]: Michaela Kratochvílová
[[PERSON_22]]: David Procházek
[[PERSON_23]]: Michal Horák
[[PERSON_24]]: Lenka Veselá
[[PERSON_25]]: Kateřina Dvořáková
[[PERSON_26]]: Ondřej Novák
[[PERSON_27]]: Karel Procházek
[[PERSON_28]]: Eva Svobodová
[[PERSON_29]]: Martin Krajíčková
[[PERSON_30]]: Han Dvořáková
[[PERSON_31]]: Jan Malý
[[PERSON_32]]: Petra Veselá
[[PERSON_33]]: Pavel Novák
[[PERSON_34]]: Milan Kratochvíl
[[PERSON_35]]: Robert Svoboda

ADDRESS
[[ADDRESS_1]]: Sídlo: Vinohradská 1234/89, 130 00 Praha 3
[[ADDRESS_2]]: Sídlo: Lékařská 567/12, 150 00 Praha 5
[[ADDRESS_3]]: Trvalé bydliště: Růžová 234/8, 160 00 Praha 6
[[ADDRESS_4]]: Trvalé bydliště: Dlouhá 67/9, 110 00 Praha 1
[[ADDRESS_5]]: Trvalé bydliště: Zahradní 45/12, 140 00 Praha 4
[[ADDRESS_6]]: Slunečná 789/34, 252 00 Říčany
[[ADDRESS_7]]: Bydliště: Mánesova 123/45, 120 00 Praha 2
[[ADDRESS_8]]: Adresa: Polská 78/3, 120 00 Praha 2
[[ADDRESS_9]]: Adresa: Anglická 45/12, 120 00 Praha 2

BANK
[[BANK_1]]: 2847563921/0800
[[BANK_2]]: CZ65 0800 0000 0028 4756 3921
[[BANK_3]]: 1234567890/0100
[[BANK_4]]: CZ12 0100 0000 0012 3456 7890
[[BANK_5]]: 1928374650/2700
[[BANK_6]]: 2156789432/0800
[[BANK_7]]: 9876543210/2700
[[BANK_8]]: 5678901234/0600
[[BANK_9]]: CZ89 0600 0000 0056 7890 1234
[[BANK_10]]: 9988776655/0100
[[BANK_11]]: CZ44 0100 0000 0099 8877 6655
[[BANK_12]]: 1234567890/5500
[[BANK_13]]: 9876543210/0800
[[BANK_14]]: 4567891230/5500
[[BANK_15]]: 6677889900/5500
[[BANK_16]]: 1122334455/0100
[[BANK_17]]: 5544332211/0100
[[BANK_18]]: 9988776655/2700
[[BANK_19]]: 3344556677/0100
[[BANK_20]]: 7788990011/5500
[[BANK_21]]: 4455667788/2700
[[BANK_22]]: 8899001122/0600
[[BANK_23]]: 1234567890/0800
[[BANK_24]]: 9876543210/5500
[[BANK_25]]: 1717371319/0710

BIRTH_ID
[[BIRTH_ID_1]]: 850812/1234
[[BIRTH_ID_2]]: 785325/6789
[[BIRTH_ID_3]]: 671105/1823
[[BIRTH_ID_4]]: 895718/3421
[[BIRTH_ID_5]]: 850422/2145
[[BIRTH_ID_6]]: 875915/7823
[[BIRTH_ID_7]]: 801215/3456
[[BIRTH_ID_8]]: 875610/4562
[[BIRTH_ID_9]]: 900123/1234
[[BIRTH_ID_10]]: 123456/2024
[[BIRTH_ID_11]]: 750630/2314
[[BIRTH_ID_12]]: 720308/1245
[[BIRTH_ID_13]]: 745112/6789
[[BIRTH_ID_14]]: 055615/4523
[[BIRTH_ID_15]]: 080922/3412
[[BIRTH_ID_16]]: 885228/7634
[[BIRTH_ID_17]]: 780915/2314
[[BIRTH_ID_18]]: 681210/5634
[[BIRTH_ID_19]]: 905212/6745
[[BIRTH_ID_20]]: 870830/1923
[[BIRTH_ID_21]]: 820615/3421
[[BIRTH_ID_22]]: 910523/7812
[[BIRTH_ID_23]]: 870923/6745
[[BIRTH_ID_24]]: 920312/2134
[[BIRTH_ID_25]]: 751008/1823
[[BIRTH_ID_26]]: 880714/5623
